locus_tag	Lygos_24_1A	Lygos_24_1B	Lygos_24_2A	Lygos_24_2B	Lygos_48_1A	Lygos_48_1B	Lygos_48_2A	Lygos_48_2B
BOH78_5480	2.0	1.0		2.0	2.0	2.0	3.0	2.0
BOH78_5476	1.0	3.0	1.0	1.0	1.0	2.0	1.0	1.0
BOH78_5475	1.0	1.0	3.0	2.0	1.0		3.0	
BOH78_5474	1.0		4.0	2.0	1.0		1.0	
BOH78_5472	1.0	1.0	1.0	1.0		1.0		1.0
BOH78_5470		1.0	1.0	1.0		1.0	1.0	1.0
BOH78_5465	2.0			2.0	2.0	1.0		
BOH78_5462	9.0	12.0	10.0	11.0	6.0	13.0	5.0	12.0
BOH78_5457	5.0	5.0	5.0	3.0	5.0	4.0	6.0	7.0
BOH78_5458			1.0				1.0	1.0
BOH78_5459	1.0	1.0		1.0		1.0	1.0	1.0
BOH78_5455			1.0	1.0				
BOH78_5454		3.0	8.0	6.0	1.0	5.0		1.0
BOH78_5452	21.0	24.0	13.0	19.0	26.0	26.0	7.0	24.0
BOH78_5446	2.0	2.0	1.0	1.0	2.0	2.0	1.0	2.0
BOH78_5445	5.0	4.0	9.0	8.0	5.0	5.0	8.0	7.0
BOH78_5442	24.0	23.0	33.0	31.0	23.0	16.0	35.0	33.0
BOH78_5441	1.0							
BOH78_5440	1.0	1.0	3.0	4.0	3.0	3.0	6.0	4.0
BOH78_5438	2.0	1.0	3.0	2.0	2.0	1.0	3.0	
BOH78_5437	26.0	22.0	22.0	23.0	32.0	20.0	15.0	18.0
BOH78_5434					1.0			
BOH78_5433		1.0		2.0	1.0	1.0	1.0	
BOH78_5431	5.0	4.0	6.0	6.0	5.0	4.0	4.0	5.0
BOH78_5432	1.0	1.0	1.0	1.0	1.0		1.0	1.0
BOH78_5424	6.0	2.0	5.0	5.0	7.0	4.0	3.0	4.0
BOH78_5426	3.0	12.0	4.0	5.0	5.0	10.0	5.0	5.0
BOH78_5423	3.0		1.0		2.0			
BOH78_5421	2.0	1.0	5.0	5.0	1.0	1.0	5.0	2.0
