# Description of Fields in this File
# ==================================
#  
# Pathway Name: a user friendly name of the pathway.
# Pathway Frame-id: a unique identifier of the pathway in the PGDB.
# Pathway Class Name: a user friendly name of a class that contains the pathway.
# Pathway Class Frame-id: a unique identifier of the Class Name in the PGDB.
# Pathway Score: A number from 0-1.0 indicating the strength of the evidence supporting the inference of this pathway, where 1.0 means very strong evidence.
# Pathway Frequency Score: the sum of the number of enzymes in the PGDB catalyzing the reactions of the pathway divided by the number of reactions in the pathway. This value can be larger than 1 since there might be several enzymes catalyzing the same reaction.
# Pathway Abundance: the abundance of the pathway given the abundance values of the genes for this pathway in the annotation file.
# Reason to Keep: a keyword describing the reason the pathway was kept.
# Pathway URL: the pathway URL for the Biocyc.org Web site.
#  
# The pathways in this file are sorted by Pathway Score.


Pathway Name | Pathway Frame-id | Pathway Class Name | Pathway Class Frame-id | Pathway Score | Pathway Frequency Score | Pathway Abundance | Reason to Keep | Pathway URL

glycolysis I (from glucose 6-phosphate)|GLYCOLYSIS|Glycolysis|GLYCOLYSIS-VARIANTS|0.13618736|0.6666667|1.0|GLYCOLYSIS-VARIANT-PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=GLYCOLYSIS
glycolysis III (from glucose)|ANAGLYCOLYSIS-PWY|Glycolysis|GLYCOLYSIS-VARIANTS|0.14639075|0.72727275|1.0|GLYCOLYSIS-VARIANT-PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=ANAGLYCOLYSIS-PWY
gluconeogenesis I|GLUCONEO-PWY|Gluconeogenesis|Gluconeogenesis|0.1577393|0.6923077|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUCONEO-PWY
D-xylose degradation I|XYLCAT-PWY|Xylose Degradation|Xylose-Degradation|0.16098094|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=XYLCAT-PWY
3-phosphoinositide biosynthesis|PWY-6352|||0.16289236|0.375|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6352
heme b biosynthesis II (anaerobic)|HEMESYN2-PWY|Heme b Biosynthesis|Heme-b-Biosynthesis|0.16863033|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=HEMESYN2-PWY
fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)|PWY-6837|||0.17600001|0.2|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6837
icosapentaenoate biosynthesis II (6-desaturase, mammals)|PWY-7049|Icosapentaenoate Biosynthesis|Eicosapentaenoate-Biosynthesis|0.18134522|0.42857143|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7049
GDP-mannose biosynthesis|PWY-5659|||0.18637441|0.75|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5659
pyrimidine deoxyribonucleotide phosphorylation|PWY-7197|||0.19138756|0.75|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7197
palmitate biosynthesis I (animals and fungi)|PWY-5994|Palmitate Biosynthesis|Palmitate-Biosynthesis|0.19308588|0.22580644|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5994
protein ubiquitination|PWY-7511|||0.19555557|1.4444444|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7511
purine ribonucleosides degradation|PWY0-1296|||0.1982054|0.6666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1296
